,x,y
0,"Ahead of AyodhyaVerdict, appeal to everyone to accept the judgement of Honourable  SupremeCourt. Let us continue to live in peace and harmony. The spirit of brotherhood is the hallmark of our secular fabric.We respect the Honble Supreme Courts AyodhyaVerdict. It reaffirms the secular values of our country. All should join together in harmony and brotherhood to carry out this immensely important judicial order.This is the last prayer offered at BabriMasjid Image speaks a thousand words... :broken_heart:AYODHYAVERDICT  is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    welcome Hon Supreme Court's AyodhyaVerdict on Sri Ram Janmbhoomi.I appeal to people of all religions to honour the verdict and maintain peace and harmony. We remain committed to the ideals of India.EkBharatShresthBharat AyodhyaCaseJust bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantMany Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  can happen only in India.Where a Justice Abdul Nazeer is a part of a unanimous verdict. And a KK Muhammed gives historical evidences. Idea of India is much bigger than any ideology can ever comprehend. May everyone be happy, I pray for peace,love amp harmony AYODHYAVERDICTImpressed with the nonstop reporting of kamalkh88221860 of ndtv today thoroughly. His knowledge of subject, balance, tone and tenor during reporting all have been phenomenal. AYODHYAVERDICT""There is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT   "," welcome Hon Supreme Court's AyodhyaVerdict on Sri Ram Janmbhoomi. The tweets are asking everyone to accept the judgement of the Supreme Court in the AyodhyaVerdict case, and to live in peace and harmony. The tweets also recognize the secular values of India and the importance of the AyodhyaVerdict, which is why Maharshi Valmiki titled his work Ramayana. The tweets also express appreciation for the nonstop reporting of Kamalkh88221860 of NDTV and mention the importance of single-party majority in India. Lastly, many Indian Muslims have expressed happiness about the AyodhyaVerdict and are asking people to hear them out."
1,"WATCH Maulana Asghar Ali Salafi, President, Markazi Jamiat Ahle Hadees Hind at a meet at NSA Ajit Doval's residence in Delhi, earlier today This is not a victory for Hindus or Muslims, it is a victory for India amp Indians, this verdict is in favor of everyone. AyodhyaVerdict  I am not for or against any of the multiple RW groups here, but this is sick.  What kind of Hindu are you, that you wanted the AyodhyaVerdict to fail, just cause Modi would take credit? This is just plain pettiness.  Pak PM ImranKhanPTI says ""Hum ManmohanSingh ko Hero banayenge, Saare News Channels par ManmohanSingh ki Headline hogi""What is the relation between Congress and Pak ? KartarpurCorridorAYODHYAVERDICT  landmark verdict by the SC.... neither win nor loss to anyone..we all should accept it and maintain peace and harmony..now it is be big task for the Government to implement.. it should not be delayed like CAPF verdict by the SC...AYODHYAVERDICT NFFU2CAPF OGAS2CAPF pmoindiaJust bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantFor all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usualI was live on News Nation on the topic of AYODHYAVERDICT and quoted Swami Ramdev jis program of Ayuryog at Expo mart today And I also endorsed his views about the great AyodhyaJudgment  yogrishiramdev swabhimani1 rakeshbstpyp AchBalkrishna BHARATSWABHIMN pyptharidwar  all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usual491 years .....It didnt come easy... May our generations to come always remember and respect this.AYODHYAVERDICTRamMandir RamMandirVerdict  civilizational wound is now healed. 490 years of struggle has finally ended in victory.Let's bow down to all those millions of Ram bhakts of last few centuries who relentlessly fought for this.How fortunate we are to be witnessing this momentAyodhyaVerdict"," is a landmark decision by the Supreme Court of India. It is a victory for India and Indians, and not for any one religion or group. Pakistan Prime Minister Imran Khan has praised former Indian Prime Minister Manmohan Singh, saying he will become a hero and his name will be featured on news channels. The AyodhyaVerdict was a long-awaited decision that was finally delivered after 491 years of struggle. It is a victory for India and all Indians, and a civilizational wound has been healed. It is a reminder to future generations to remember and respect this moment."
2,"For all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usualI am an Indian, I want MandirMasjid issues to be buried deep down and real issues like price rise, unemployment, poverty, starvation, infrastructure, social security, Transgenders rights etc be addressed and made headlines What about you? Amartya13 saileenas AYODHYAVERDICT  Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT     Process of trust formation for Ayodhya begins. A team of bureaucrats set up to study technicalities of the order. Legal opinion being taken from Attorney General and the Law Ministry Sources MandirAtAyodhya  AyodhyaVerdict  is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    is the last prayer offered at BabriMasjid Image speaks a thousand words... :broken_heart:AYODHYAVERDICT  wholeheartedly welcome the historic judgment of the Honourable Supreme Court to allow government to built RamMandir in Ayodhaya This judgement has finished the long standing dispute of MandirMasjid. Thanks to narendramodi ji and AmitShah ji also.:folded_hands::rose:AYODHYAVERDICTJust bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantAs a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtra","

This group of tweets is discussing the reaction to the AyodhyaVerdict, which is a Supreme Court judgment allowing the government to build a RamMandir in Ayodhaya. The tweets point out that the western media was wrong to expect large scale violence following the verdict. The tweets also discuss the importance of focusing on issues such as price rise, unemployment, poverty, starvation, infrastructure, social security, and Transgenders rights instead of MandirMasjid issues. The tweets further discuss the importance of the AYODHYAVERDICT and how it has finished the long standing dispute of MandirMasjid. They also discuss the importance of single party majority and how Shiv Sena may be trying to impress Sonia Gandhi and the Congress by publishing pieces questioning Supreme Court's AYODHYAVERDICT."
3,"Reporter's DiaryMet two kids who sell diyas on ghats of Saryu river evryday without fail in AyodhyaHere's what they say on unity bw communities after AyodhyaVerdictAlso share self composed couplet""Ram sita joda deepak jalake chodaNa haathi ja ghoda10 ka ek, 20 ka joda""  can happen only in India.Where a Justice Abdul Nazeer is a part of a unanimous verdict. And a KK Muhammed gives historical evidences. Idea of India is much bigger than any ideology can ever comprehend. May everyone be happy, I pray for peace,love amp harmony AYODHYAVERDICTExpose amp negate the voices like Owaisis who want to connect Muslims with Babur amp Aurangzeb and not with Dara Shikov amp Dr APJ Kalam. Muslim intellectuals should not allow people like him to be the sole voice of Muslims. RamMandir AYODHYAVERDICT  drjawaharsurisetti writes on how newindia has the resilience to understand the ayodhyaverdict and live peacefully Speaking Tree . He says that we should not be bothered by a minuscule naysayers ....  Due to restriction they couldn't protest against AYODHYAVERDICT so they have resorted to this kind of demonstration.After couple of days some one will 'photoshop' this incident amp label it as ""Protest by Muslims"".PMOIndia HMOIndia must monitor them ShutDownJNU""There is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    poll U have a right to declare winner of BB13. .WeekendKaVaar WESTANDBYYOUSIDSHUKLA  BIGILRulesSouthBO2019 ColorsTV SalmanKhan BiggBoss AYODHYAVERDICT AsimRaiz AyodhaVerdict BabriMasjid WeSupportSidShukla biasedhostsalmankhan HindustaniBhau SiddharthShuklaMany Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  would suggest Muslims of present generation who have not witnessed 199293 Babri Masjid Demolition amp the riots to make YouTube channels amp record interviews of as many older Muslims who have witnessed and suffered as a result of Babri Masjid Demolition amp riots. AYODHYAVERDICTJust bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so important",".

These tweets discuss the Ayodhya verdict, which is a unanimous decision made by the Supreme Court of India. It has been met with approval from many people, including two kids who sell diyas on the ghats of the Saryu river in Ayodhya. They composed a couplet to express their feelings of unity between communities. Many people have expressed their support for the verdict, and have spoken out against those who want to connect Muslims with Babur and Aurangzeb instead of Dara Shikov and Dr. APJ Kalam. People have also discussed the resilience of new India and how it can live peacefully after the verdict. Finally, people have discussed the importance of single party majority and how it can affect decisions like the Ayodhya verdict."
4,"Just bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantKashmirSiege NRC AyodhyaVerdict  Ayodhya a dangerous verdict, shifting what is possible? Unfolding, the reign of majoritarian fascists? Taj Mahal 'built on Hindu temple', claims Indian MP AJENews   Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  ""Problem is not for a Land For Domination""Hinduism BJP RSS""The corpse is not showing any resistance to the robbery in his house. We highly appreciate the selfrestraint shown by the corpse. He even seems to celebrate the robbery.""AYODHYAVERDICTMahaNaivedya was offered to MoolaRama of ShankaraPeetha this morning to celebrate the sweet occasion of obliteration of all obstacles in building a grand  temple to Lord SriRama at SriRamaJanmaBhoomi, Ayodhya..RamMandirInAyodhya AYODHYAVERDICT  all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usual""There is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    I am not for or against any of the multiple RW groups here, but this is sick.  What kind of Hindu are you, that you wanted the AyodhyaVerdict to fail, just cause Modi would take credit? This is just plain pettiness.  bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so important",": This tweet is suggesting that the BJP's success in the recent Lok Sabha elections has caused the 370 and AyodhyaVerdict issues to be delayed indefinitely, and that it is important for a single party to have a majority in order to avoid such a situation."
5,"He is Sri Ranganath , Chief of Public TV , a Kannada news channel .. He presents the news of AYODHYAVERDICT without wearing footwear.. Thats the emotion this country amp emotion attaches to Prabhu Sri Ramachandra ...  a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraWATCH Maulana Asghar Ali Salafi, President, Markazi Jamiat Ahle Hadees Hind at a meet at NSA Ajit Doval's residence in Delhi, earlier today This is not a victory for Hindus or Muslims, it is a victory for India amp Indians, this verdict is in favor of everyone. AyodhyaVerdict  bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantWATCH Maulana Asghar Ali Salafi, President, Markazi Jamiat Ahle Hadees Hind at a meet at NSA Ajit Doval's residence in Delhi, earlier today This is not a victory for Hindus or Muslims, it is a victory for India amp Indians, this verdict is in favor of everyone. AyodhyaVerdict   Process of trust formation for Ayodhya begins. A team of bureaucrats set up to study technicalities of the order. Legal opinion being taken from Attorney General and the Law Ministry Sources MandirAtAyodhya  AyodhyaVerdict  Elections, INCIndia leaders RahulGandhi amp Priyanka Vadra shamelessly indulged in ""Temple Run"" to fool Voters.After the AYODHYAVERDICT, their mouthpiece NHIndia insults Indians by questioning and comparing the Nation's Supreme Court to Pakistan's Supreme Court.  is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    is a historic day for the Hindu Rashtra, a narrow political vision built on hate, false history, and the use of violence to force adherence to majoritarian norms. HinduRashtra Ayodhyaverdict JaiShriRamWATCH Maulana Asghar Ali Salafi, President, Markazi Jamiat Ahle Hadees Hind at a meet at NSA Ajit Doval's residence in Delhi, earlier today This is not a victory for Hindus or Muslims, it is a victory for India amp Indians, this verdict is in favor of everyone. AyodhyaVerdict "," Sri Ranganath, Chief of Public TV, a Kannada news channel, presented the news of the AyodhyaVerdict without wearing footwear, showing the emotion this country and its people attach to Prabhu Sri Ramachandra. Shiv Sena attempted to impress Sonia Gandhi and the Congress by publishing pieces in the National Herald questioning the Supreme Court's AyodhyaVerdict and maligning Hindus. A team of bureaucrats has been set up to study the technicalities of the order, and legal opinion is being taken from the Attorney General and the Law Ministry. Elections, INCIndia leaders Rahul Gandhi and Priyanka Vadra attempted to fool voters by indulging in a ""Temple Run"" before the AyodhyaVerdict. After the verdict, their mouthpiece NHIndia insulted Indians by questioning and comparing the Nation's Supreme Court to Pakistan's Supreme Court. Maharshi Valmiki's immortal work Ramayana, titled the Journey of Sri Ramachandra, is a profound reason for the historic day of the AyodhyaVerdict for the Hindu Rashtra."
6,"Many Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usualPredicted on 19th July 2018 regarding Article 370 and RamMandir Temple AyodhyaHearing AYODHYAVERDICT AyodhyaJudgment peace astrology predictions Article370 RamMandir RamJanmbhoomi JudgementDay narendramodi AmitShah PMOIndia gautamgambhir  I am not for or against any of the multiple RW groups here, but this is sick.  What kind of Hindu are you, that you wanted the AyodhyaVerdict to fail, just cause Modi would take credit? This is just plain pettiness.  was offered to MoolaRama of ShankaraPeetha this morning to celebrate the sweet occasion of obliteration of all obstacles in building a grand  temple to Lord SriRama at SriRamaJanmaBhoomi, Ayodhya..RamMandirInAyodhya AYODHYAVERDICT  bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantWe shot the episode before the AYODHYAVERDICT so it focuses on pollution, which by the way continues to be at hazardous levels in Delhi Special thanks to pradip103 who allowed us to troll him. Watch the full episode of TVNewsance here   a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraShow this to all pakistanis and liberals whore trying to use the AYODHYAVERDICT to incite communal violence..Janta bevkoof nahi hai, sab samajhti hai..  a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtra","

These tweets discuss the Ayodhya verdict, which was largely celebrated by Indian Muslims, who had been vocal about it. The western media had predicted large scale violence, but it did not occur. Predictions had been made in 2018 regarding the Article 370 and the Ram Mandir temple in Ayodhya. The tweets also discuss the importance of single party majority, and how the Shiv Sena is trying to impress Sonia Gandhi and the Congress by questioning the Supreme Court's AYODHYAVERDICT. Finally, it is noted that the general public is not fooled by attempts to use the AYODHYAVERDICT to incite communal violence."
7,"As a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraAs a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraIt takes an AYODHYAVERDICT to make trads shut up about how women should dress, talk and behave.""There is a profound reason Maharshi Valmiki titled his immortal work Ramayana, the Journey of Sri Ramachandra. One wonders whether it was an exile or an enduring national pilgrimage of which he was the pioneer. ""My essay on the AYODHYAVERDICT    was offered to MoolaRama of ShankaraPeetha this morning to celebrate the sweet occasion of obliteration of all obstacles in building a grand  temple to Lord SriRama at SriRamaJanmaBhoomi, Ayodhya..RamMandirInAyodhya AYODHYAVERDICT  you ever feel useless, just think of all those years you managed to live in the same era when RAM MANDIR will be built. I think nothing can be more motivating than this. AYODHYAVERDICTAs a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraMany Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?   Process of trust formation for Ayodhya begins. A team of bureaucrats set up to study technicalities of the order. Legal opinion being taken from Attorney General and the Law Ministry Sources MandirAtAyodhya  AyodhyaVerdict  us all wholeheartedly welcome the apex court verdict. This is neither a victory for anyone, nor a defeat for anyone. Dont react emotionally. Let the harmony and peace prevail. AYODHYAVERDICT  AyodhyaCase", Shiv Sena is attempting to impress Sonia Gandhi and Congress by publishing National Herald pieces that question the Supreme Court's AYODHYAVERDICT and malign Hindus. They are accused of cheating Maharashtra. Muslims have been vocal and happy about the AYODHYAVERDICT and have congratulated fellow Indians on rightfully getting what was theirs. A team of bureaucrats has been set up to study technicalities of the order and legal opinion is being taken from the Attorney General and the Law Ministry. People are being encouraged to welcome the verdict and not react emotionally.
8,"Just bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantSadhvi Ritambhara, Uma Bharti, Kalyan Singh, Vishnu Hari Dalmia, Sita Ram Goel, Ram Swarup, so many names, that have been at the forefront of the RamJanmbhoomi movement. And those nameless Karsevaks who gave up everything to make todays day a reality. AYODHYAVERDICTAyodhya verdict sifydotcom cartoon AyodhyaVerdict  all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usualExpose amp negate the voices like Owaisis who want to connect Muslims with Babur amp Aurangzeb and not with Dara Shikov amp Dr APJ Kalam. Muslim intellectuals should not allow people like him to be the sole voice of Muslims. RamMandir AYODHYAVERDICT  Ram tha, na Ram mandir tha but even the highest court in India refuses to differentiate between mythology amp facts and grants the land to a ""Lalla"". So much for a ""Vishwa guru"". AYODHYAVERDICTWOW  ndtv ndtvindia ndtvvideos Nidhi NidhiKNDTV umashankarsingh NaghmaSahar sanket soniandtv  kawaljit  Straight on 3rd Day, NDTV Hindi debate on AYODHYAVERDICT Trending at Number3 Spot. Congrats. PrannoyRoyNDTV akhileshsharma1 GargiRawat VishnuNDTVAs a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraThis can happen only in India.Where a Justice Abdul Nazeer is a part of a unanimous verdict. And a KK Muhammed gives historical evidences. Idea of India is much bigger than any ideology can ever comprehend. May everyone be happy, I pray for peace,love amp harmony AYODHYAVERDICTJust bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so important"," is that it gives the ruling party the power to pass laws and make decisions without opposition. The recent Ayodhya verdict was a long-awaited decision, with many names associated with the Ram Janmbhoomi movement, and the verdict was received with peace and harmony. The Western media was wrong to expect violence, and Muslim intellectuals should not allow people like Owaisis to be the sole voice of Muslims. Shiv Sena attempted to impress Sonia Gandhi and Congress by publishing National Herald pieces that malign Hindus. Justice Abdul Nazeer and KK Muhammed were part of the unanimous verdict, and the idea of India is much bigger than any ideology can ever comprehend."
9,"Now when AYODHYAVERDICT is here in favour of Hindus, we all must be curious to know the details of temple and chief architect behind it. A little insight We've lots of stories to tell about our people and our home. Stories where the saffron amp green amp white of our manifest destiny merge and become one, become indistinguishable. I have learned from being away from:India: that if we don't love our people, no one else will. ayodhyaverdict  all those of the western media that were ghoulishly waiting for large scale violence following the AYODHYAVERDICT You were wrong. As usual""NO REGRET. NO REPENTANCE. NO SORROW. NO GRIEF. They say that the 'incident' on 6th December1992 is a thing of national shame, but I say it is a thing of national PRIDE.""1 of the unsung heroes of Ayodhya RamMandir movement...:folded_hands::folded_hands::folded_hands:AyodhyaVerdictRamjanmbhoomiJaiShriRam  NRC AyodhyaVerdict  Ayodhya a dangerous verdict, shifting what is possible? Unfolding, the reign of majoritarian fascists? Taj Mahal 'built on Hindu temple', claims Indian MP AJENews   bcoz BJP got 303 seats in LS everything looks hunky dory.If they would have got 200 seats, JDU amp ShivSena would have been the first ones to jump the NDA ship for greener pasture. 370 amp AYODHYAVERDICT delayed indefinitely.Reason why Single party Majority is so importantThis can happen only in India.Where a Justice Abdul Nazeer is a part of a unanimous verdict. And a KK Muhammed gives historical evidences. Idea of India is much bigger than any ideology can ever comprehend. May everyone be happy, I pray for peace,love amp harmony AYODHYAVERDICTAs a step to impress Sonia Gandhiamp Congress for their unholy support, Shiv Sena can publish the National Herald pieces questioning Supreme Court's AYODHYAVERDICT amp maligning Hindus ShivSenaCheatsMaharashtraMany Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ?  Indian Muslims Like Me Have Been Very Vocal amp  Happy About Yesterdays AyodhyaVerdict. V Have Wholeheartedly Congratulated Our Fellow Indian Counterparts On Rightfully Getting What Was Theirs In The First Place :victory_hand_light_skin_tone:You R Either 2 Dumb Or 2 Venomous Tht U Couldnt Hear Us ? ","

These tweets are discussing the recent AyodhyaVerdict, which was in favor of Hindus. They discuss the details of the temple and the chief architect behind it, as well as the stories of the manifest destiny of India. They also discuss the reaction of the western media, and the pride that some feel about the incident. They also mention the unsung heroes of the Ayodhya RamMandir movement, the NRC, and the importance of single party majority. They also discuss the idea of India being much bigger than any ideology and the happiness of Indian Muslims about the verdict."
